Track Name,Artists,Album Name,Album ID,Track ID,Popularity,Release Date
Beete Lamhein,KK,The Train,1GFvChouNq6BNSjhSi6XKP,0zQa7QXLpUZfrrsWbgDZll,64,2007-04-18
Ik Bagal,Piyush Mishra,Gangs Of Wasseypur,5lOKYvuSy6buolqIHSUwpG,4OOXIr4Wce7TuLUu65v653,48,2012-05-23
"Kya Mujhe Pyar Hai (From ""Woh Lamhe"")",KK,Evergreen Hits Of K.K.,1dG5jJAa3ZiSWnpVd2uPao,7fW9J3EpVWVN1ouv0slAs0,65,2022-06-01
Dhoom Taana,"Vishal-Shekhar, Shreya Ghoshal, Abhijeet",Om Shanti Om,2cUzlmLfL5LUTSEk7qG09k,4eKWtXoGajnaGKvKAcgc8f,57,2007-09-18
Chahun Main Ya Naa,"Palak Muchhal, Arijit Singh",Aashiqui 2,0Rkv5iqjF2uenfL0OVB8hg,6UgcN95w7vQxkR8sEFmwHG,68,2013-04-06
Mann Mera,Gajendra Verma,Table No. 21 (Original Motion Picture Soundtrack),7Gws1vUsWltRs58x8QuYVQ,3yV2c3cYhkAwSsxAq6nRiv,71,2012-12-21
Be Intehaan,"Atif Aslam, Sunidhi Chauhan, Pritam",Race 2 (Original Motion Picture Soundtrack),1Q5RHgCR1iKzaZzJurDKEK,6g0HHWLJwfe2PlbgHi8pBj,58,2012-01-25
Bulleya,"Vishal-Shekhar, Papon, Irshad Kamil",Sultan,0tAi6H8acUKefYMIEuxcMA,3tgdOveYac7YMEAQD9sGLf,66,2016-05-31
Hona Tha Pyar,"Atif Aslam, Hadiqa Kiani",Bol (Original Motion Picture Soundtrack),7AXmb2bA5LW5DclaDElH4l,0KSOLEBixnBYIKNHF1VbzF,65,2011-06-05
Pehli Nazar Mein,"Atif Aslam, Pritam",Race (Original Motion Picture Soundtrack),5ZA52EwvGmwTQvHaLujhry,17opN752ZQpNuoptelsNQ1,64,2008-03-21
Teri Jhuki Nazar,"Pritam, Shafqat Amanat Ali",Murder 3 (Original Motion Picture Soundtrack),59mJQyT1wOf5irSqfJNI43,3beYHVCFKzbdNjJqjKeYpM,67,2013-02-01
Maula Mere Maula,Roop Kumar Rathod,Anwar,1m24oMsNiL89cMnoO2r899,4CGBTtlrjZj7ydpV52cgB4,68,2007-01-12
Dagabaaz Re,"Rahat Fateh Ali Khan, Shreya Ghoshal",Dabangg 2,1bugBSaVPqGgvzNcX41W2r,6MudETKykE31rz3v2DOHa0,63,2012-11-17
Chor Bazaari,"Neeraj Shridhar, Sunidhi Chauhan, Pritam",Love Aaj Kal (Original Motion Picture Soundtrack),2yoQE2XBnwdUyoOkoprTfT,4gqHEia13bp5EFWGitiKWx,62,2009-07-31
Laila Laila,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack),0K6B1gFrapG4pq719Q6r7h,4wtnNTPCnUrVzcilVmkKbo,44,2018-10-03
Is This Love,"Mohit Chauhan, Shreya Ghoshal, Pritam",Kismat Konnection (Original Motion Picture Soundtrack),61cQuizKixGgQTi0Le6M8N,0GVPRo9LEjxjT4C4o8BGot,59,2008-07-18
Aye Khuda,Salim Merchant,Paathshaala,15bbskXdtqo6uN2IMC1NlF,1vgVsR5rkXGP4NmUcoroJH,60,2010-03-15
Aankhein Khuli,"Jatin-Lalit, Lata Mangeshkar, Udit Narayan, Udbhav, Manohar Shetty, Ishaan, Shweta Pandit, Sonali Bhatawdekar, Pritha Mazumdar, Anand Bakshi",Mohabbatein,2HeqbIcBcggDsgNCHcGN1h,16XEVyPh5NT31CAAqPbxQF,63,2000-08-27
Bol Na Halke Halke,"Shankar-Ehsaan-Loy, Rahat Fateh Ali Khan, Mahalakshmi Iyer, Gulzar",Jhoom Barabar Jhoom,5xRsmEKZOuvwgnHJfDscnI,0u8wprNfOdcWpUlWnfMcpP,68,2007-05-15
Jiya Dhadak Dhadak Jaye,Rahat Fateh Ali Khan,Kalyug,1BEbWl7hVZ2B2O7zuzKOhG,5wQlXgGVSwvBVKXf5lmWhp,1,2005-12-09
Bakhuda Tumhi Ho,"Atif Aslam, Alka Yagnik, Pritam",Kismat Konnection (Original Motion Picture Soundtrack),61cQuizKixGgQTi0Le6M8N,0h73AwuEY2x44cBMOP58fO,59,2008-07-18
Tum Ho Mera Pyar,"KK, Suzanne",Haunted,5fGF8CMrFsj1zrF17UDYdB,2EN5aTDtX8852Ih3ss8Rih,58,2011-04-13
Prem Ki Naiyya,"Neeraj Shridhar, Suzanne D'Mello, Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),13t8iDyl1vkhPcO3Zl29a9,2JDsi7S0UmtGoyVPTda0ao,62,2009-11-06
Tere Liye,"Atif Aslam, Shreya Ghoshal",Prince (Original Motion Picture Soundtrack),3dBoJQnc1D888ePFSopdrO,0fCQRUbk8LIQTdQYGNtGyv,64,2010-04-09
Neele Neele Ambar Par - Male Version,"Kalyanji-Anandji, Kishore Kumar",Kalaakaar (Original Motion Picture Soundtrack),3438iV4EeQYLyaqvT34AMa,02zPo0Dt0R4TTFY5zLJZnK,65,1983-06-10
Apna Bana Le,"Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya",Bhediya (Original Motion Picture Soundtrack),1pw0xzpe4O0OMohBwau50L,1hA697u7e1jX2XM8sWA6Uy,74,2022-12-06
"Tujhe Kitna Chahne Lage (From ""Kabir Singh"")","Arijit Singh, Mithoon","Tujhe Kitna Chahne Lage (From ""Kabir Singh"")",3I8PdIhk6pNm8Kv0HiF14V,2Fv2injs4qAm8mJBGaxVKU,77,2019-05-31
Heeriye (feat. Arijit Singh),"Jasleen Royal, Arijit Singh, Dulquer Salmaan",Heeriye (feat. Arijit Singh),1wt2WZBZZ9GhM0AC61l7SS,5PUXKVVVQ74C3gl5vKy9Li,76,2023-07-25
O Maahi,"Pritam, Arijit Singh, Irshad Kamil",Dunki,6mOSDGo8ZREISAbaiTMW5J,6bmmHeCvZI92pRiTHxEdTC,71,2023-12-20
"Agar Tum Saath Ho (From ""Tamasha"")","Alka Yagnik, Arijit Singh",Love Forever With Arijit Singh,5Wm1nhxZqx7i0Hp6ZBqe9T,2FCXQHugkoHE1K3tiDu8pu,69,2017-06-07
"Chuttamalle (From ""Devara Part 1"")","Shilpa Rao, Anirudh Ravichander, Ramajogayya Sastry","Chuttamalle (From ""Devara Part 1"")",77bk7awXNSGEQkZTcTp2Gj,1bxzr3JK05fMTcweGAZUHp,77,2024-08-05
Chaleya,"Anirudh Ravichander, Arijit Singh, Shilpa Rao, Kumaar",Jawan,3WLJmMZUeDOuERFAk1Mxs6,3xMHXmedL5Rvfxmiar9Ryv,71,2023-09-05
Manasilaayo,"Anirudh Ravichander, Malaysia Vasudevan, Deepthi Suresh, Yugendran Vasudevan",Vettaiyan (Original Motion Picture Soundtrack),6Xw7XAQQwpsy9KfUnJTrHz,3CA9CjRf7IU2Ukz3GuYInP,63,2024-10-14
Hunter Vantaar,"Anirudh Ravichander, Siddharth Basrur, Arivu",Vettaiyan (Original Motion Picture Soundtrack),6Xw7XAQQwpsy9KfUnJTrHz,5KRF3484mnhyYFVXyvsBEf,60,2024-10-14
"Fear Song (From ""Devara Part 1"") [Telugu]","Anirudh Ravichander, Ramajogayya Sastry","Fear Song (From ""Devara Part 1"") [Telugu]",1OO05SXoc1JTyvGbxi75Pm,6b2WJDzGt5X8dYfpkWtvXW,68,2024-05-19
Hukum - Thalaivar Alappara,"Anirudh Ravichander, Super Subu",Jailer (Original Motion Picture Soundtrack),0zRUzTXH7GtGLxt6uVdARD,5DgY6Ab0vpyUMKnY9ubFOF,62,2023-07-28
Tum Se Hi,"Pritam, Mohit Chauhan, Irshad Kamil",Jab We Met,4OYdTHNgjhXzgVjbqsb0tO,7eQl3Yqv35ioqUfveKHitE,76,2007-09-21
Pee Loon,"Pritam, Mohit Chauhan, Irshad Kamil",Once Upon A Time In Mumbaai,4ceWEQarPyTyeb9TUeyLOG,52itZ0w0CydihB2JCZEIft,73,2010-06-29
Tujhe Bhula Diya,"Vishal-Shekhar, Mohit Chauhan, Shekhar Ravjiani, Shruti Pathak",Anjaana Anjaani,6FC95PYKFrO8UYhjCidPZ9,4r8JqkhpTb5tzSKKHnVJIJ,71,2010-08-19
Rang Lageya,"Mohit Chauhan, Rochak Kohli",Rang Lageya,3Gv6LmSvfxkUFmw8KCmUEr,7mSzDKajY2wUtstQSLdzMK,70,2021-03-17
Kun Faya Kun,"A.R. Rahman, Javed Ali, Mohit Chauhan",Rockstar,3RZxrS2dDZlbsYtMRM89v8,7F8RNvTQlvbeBLeenycvN6,70,2011-10-01
Tum Ho,"Mohit Chauhan, Suzanne D'Mello",Rockstar,3RZxrS2dDZlbsYtMRM89v8,7uNnlVit5qDvfOje0pqICF,69,2011-10-01
Saiyaara,"Sohail Sen, Mohit Chauhan, Tarannum Malik Jain, Kausar Munir",Ek Tha Tiger,1vATJtFK74jkmkg5M8ffvq,1ocYa8PoVd5e2vPn0xHJcA,67,2012-07-16
Abhi Kuch Dino Se,"Pritam, Mohit Chauhan",Dil Toh Baccha Hai Ji,4YPnhvF8PfaQrO3Jl8Tm0q,1QufGJee7k9v4Cfp2NxXbv,67,2010-12-23
Matargashti,Mohit Chauhan,Tamasha,2CUXo26JAWIbQx0EVMnjpA,5GeBgck1MU2tlIkMpsn8uT,66,2015-10-16
Dooriyan,"Mohit Chauhan, Pritam",Love Aaj Kal (Original Motion Picture Soundtrack),2yoQE2XBnwdUyoOkoprTfT,5F79ZdjOwGOhUKRHx94sr1,66,2009-07-31
Jeena Jeena,"Sachin-Jigar, Atif Aslam",Badlapur (Original Motion Picture Soundtrack),4ahg47diWPOQ6d6C8e6PHI,2GXXZFUxYg2LvG8SR0byOE,75,2014-12-09
O Saathi,"Atif Aslam, Arko","O Saathi (From ""Baaghi 2"")",23L9JSXD0RrynRb71ZfL9A,6fScgF2Y63ScU73nYju0ny,74,2018-03-09
Dil Diyan Gallan,Atif Aslam,YRF Top 10 - Falling in Love,1ujIERX0vWqw9kcYr6VMRp,0FBQ4NrrHUbR9kus7rzrOj,71,2021-02-13
Tera Hone Laga Hoon,"Atif Aslam, Alisha Chinai, Pritam",Best of Romance: Atif Aslam & Pritam,3vDIjYB1eatEoGlVoZWUFs,48Ix6ReYdJf2H4mKb3TIpj,70,2023-04-20
O Meri Laila,"Atif Aslam, Jyotica Tangri",Laila Majnu (Original Motion Picture Soundtrack),1RNEvKlb3YovuiE8Gw5VOO,5sUSbJo0brScvv48ZZ1HrQ,73,2018-10-30
Pehli Dafa,"Atif Aslam, Shiraz Uppal",Pehli Dafa,5pAPEuGi48iywzO2NT5Ddt,4Tkb7zsDmsawB7S5TpKQV1,72,2017-01-06
Tu Jaane Na,"Atif Aslam, Pritam",Best of Romance: Atif Aslam & Pritam,3vDIjYB1eatEoGlVoZWUFs,5vGiuYFSGekGLgbxhV1rD5,66,2023-04-20
Tere Sang Yaara,"Atif Aslam, Manoj Muntashir",Rustom (Original Motion Picture Soundtrack),78QGeq3kPu6bBNpYXUAR60,72CkpVdvmc8t28o8I9N32J,71,2016-07-15
Jeene Laga Hoon,"Atif Aslam, Shreya Ghoshal, Sachin-Jigar",Ramaiya Vastavaiya (Original Motion Picture Soundtrack),1VgXTSQsIrRn150j5MJrxR,3t3wsY5IdLVzB9WidegJSU,71,2013-07-19
Main Rang Sharbaton Ka,"Atif Aslam, Chinmayi, Pritam",Best of Romance: Atif Aslam & Pritam,3vDIjYB1eatEoGlVoZWUFs,2IEhtVeM9TVql8fZdKdlo9,67,2023-04-20
Sang Rahiyo (feat. Ujjwal Kashyap),"Jasleen Royal, Ujjwal Kashyap",Sang Rahiyo (feat. Ujjwal Kashyap),1dkHqiypZzME8gcoJCAfWZ,45PA9lW7U5LYnlpGrdTyHY,74,2020-09-10
The Nights,Avicii,The Days / Nights,0h2knr6qpiAq0tV5ri5JMF,0ct6r3EGTcMLPtrXHDvVjc,82,2014-01-01
Tainu Leke,"Sonu Nigam, Mahalakshmi Iyer",Salaam-E-Ishq,2AYTX7A8GfZrlVwRTdt3QZ,34wsgkPMRk3xIfHdwtezbf,60,2007-07-12
Nayan,"Dhvani Bhanushali, Jubin Nautiyal, Lijo George-Dj Chetas",Nayan,73wnThE4TNKMDdPTTSBTsM,2KrrAi2smn5Fa7sy7TxrKg,60,2020-12-08
Te Amo (Duet),"Pritam, Ash King, Sunidhi Chauhan",Dum Maaro Dum,5RM8pIBX8zU9g8U5WG4zfZ,3x55c9UVpbURc2T02DLfEM,60,2011-03-15
Gallan Goodiyaan,"Yashita Sharma, Manish Kumar Tipu, Farhan Akhtar, Shankar Mahadevan, Sukhwinder Singh",Dil Dhadakne Do,0ZRVDoVuEiOxJLVTSpNFk6,7hNYvX0qAKrxtVr1jGDmvR,65,2015-05-02
Naina Da Kya Kasoor,Amit Trivedi,Andhadhun (Original Motion Picture Soundtrack),0K6B1gFrapG4pq719Q6r7h,2g3o6I7YuKFEUn9OOfuAfP,66,2018-10-03
Dil Dhadakne Do,"Joi Barua, Suraj Jagan",Zindagi Na Milegi Dobara,6Baavsh6HfNka1IyvPrr24,46elU7IBKWf55D5sjHGqO7,57,2011-06-06
Tu Mileya,Darshan Raval,Tu Mileya,21wYDuEQeG7jvdeMe7S73r,7glqjOAauUoPmOXp2Ovpcf,56,2023-04-12
I Love You,"Pritam, Ash King, Clinton Cerejo",Bodyguard,3Coy8qgtYG47SX9hLJBa0l,5bHDGWyIFML1LYXZWTD5MF,62,2011-07-27
My Dil Goes Mmmm,"Vishal-Shekhar, Shaan, Gayatri Iyer, Jaideep Sahni",Salaam Namaste,2IENY924rGfG14TIQIdZFr,3Uv8BQFN3bQfhkregyMbnx,63,2005-08-03
O Rangrez,"Shankar-Ehsaan-Loy, Shreya Ghoshal, Javed Bashir, Yusuf Mohammed, Vajid Ali",Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),3m5FIubiCHr9mH3BU7ngY4,5JCDVLwteSXuwVqjCa7SwH,68,2013-06-14
Hasi - Male Version,"Ami Mishra, Kunaal Vermaa",Hamari Adhuri Kahani (Original Motion Picture Soundtrack),7sVzilmsqYcLMYw2gtvoZM,32765xcLM1fd6wQIpkN9A0,71,2015-05-21
"Tum Kya Mile (From ""Rocky Aur Rani Kii Prem Kahaani"")","Pritam, Arijit Singh, Shreya Ghoshal, Amitabh Bhattacharya",Rocky Aur Rani Kii Prem Kahaani,6FfXtcC6KsOTOO3GehQZ8x,1kDZSmw3mKQeAjcmPTLS3M,65,2024-05-15
Tum Hi Ho Bandhu,"Neeraj Shridhar, Kavita Seth, Pritam",Cocktail (Original Motion Picture Soundtrack),1y5h6GBXEgFjBDHThikj1w,7H3mfOvtPNA8YDF3EdKy0L,69,2012-06-15
Khuda Jaane,"Vishal-Shekhar, KK, Shilpa Rao, Anvita Dutt Guptan",Bachna Ae Haseeno,4mFLdK8SkUo3cx8ERLQC92,0gPgdRfB4jdGrlyXS0Vx78,72,2008-07-05
Abhi Mujh Mein Kahin,"Ajay-Atul, Sonu Nigam",Agneepath (Original Motion Picture Soundtrack),3EXIPmWRsSM1sXol5g4t7j,73y649QhnXdcm6fRdvfraO,63,2011-12-16
Khamoshiyan,"Jeet Gannguli, Arijit Singh",Khamoshiyan (Original Motion Picture Soundtrack),6mJIpY6r2SzZbLN3ClYCbb,6zCQF5tu7HVwU9shhKqiuF,67,2014-12-29
Dildaara (Stand By Me),Shafqat Amanat Ali,Ra-One,5x2eTJrbEvmOTEcWWWubLy,6ZoCBDOB308GqUdt2AJrV2,65,2011-09-16
Tere Pyaar Mein,"Pritam, Arijit Singh, Amitabh Bhattacharya, Nikhita Gandhi","Tere Pyaar Mein (From ""Tu Jhoothi Main Makkaar"")",5uAi4ZZc7zRdd6PsKNcJXO,2ZD4aIEepqZsdxPxLSuUhm,71,2023-02-01
Ajj Din Chadheya,"Rahat Fateh Ali Khan, Pritam",Love Aaj Kal (Original Motion Picture Soundtrack),2yoQE2XBnwdUyoOkoprTfT,4NmWv6PEGEAmorN5UN9fRo,67,2009-07-31
Tu Chahiye,"Pritam, Atif Aslam, Amitabh Bhattacharya",Bajrangi Bhaijaan,4nZOPP0atfJbBlkedLYi7t,3aaiAWCet6sbfOfLSn3g7i,68,2015-07-07
Guzarish,Javed Ali,Ghajini,1bakFVqPdxrSCSZI2HUGhJ,2MvCNH9ua0CeOgUQfZf56z,69,2008-11-25
Saibo,"Sachin-Jigar, Shreya Ghoshal, Tochi Raina",Shor in the City (Original Motion Picture Soundtrack [Deluxe Edition]),7J7qILtFBTj1oTzPXNii6Y,5pPyvA03RKSJrAnnDcq0nh,69,2011
Haan Ke Haan,"Sohail Sen, Monali Thakur, Kausar Munir",Maharaj,2R2iYcw81Fjfup0kUZtlf6,1WxzZoWBTmB68AtyA6ejBB,73,2024-06-24
Haan Ke Haan,"Sohail Sen, Monali Thakur, Kausar Munir",Maharaj,2R2iYcw81Fjfup0kUZtlf6,1WxzZoWBTmB68AtyA6ejBB,73,2024-06-24
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
Falak Tak,"Vishal-Shekhar, Udit Narayan, Mahalakshmi Iyer, Kausar Munir",Tashan,59p4XN8mbKxNCoY5nQJyN5,0IudGhdeJZwJ0Ps6ndtQDt,66,2008-03-27
"Uska Hi Banana (From ""1920 Evil Returns"")",Arijit Singh,Arijit Singh Broken Strings,6jk3ucx33D7CLURgcfVFOT,3h6Xvd0lISog6GxTk4X6MK,61,2019-04-24
Dil Ibaadat,"Pritam, KK",Tum Mile (Original Motion Picture Soundtrack),3Ip9JCpT1IF9GvhAxzufTH,3Kl8p2PxVf8eAayLwTxOIm,69,2009-09-08
"Dil Se Dil Tak (From ""Bawaal"")","Akashdeep Sengupta, Laqshay Kapoor, Kausar Munir, Suvarna Tiwari","Dil Se Dil Tak (From ""Bawaal"")",1vaX8lnpErNywb6HwJBOsw,1kTEGyqUJFgstwdgJFLqz1,70,2023-07-14
Ishq Bulaava,"Vishal-Shekhar, Sanam Puri, Shipra Goyal",Hasee Toh Phasee (Original Motion Picture Soundtrack),3PxXJhlxSQkj8JO7IXy0FE,1fkjRQA8wXPPyxqYLbxuqy,66,2014-01-05
Bol Do Na Zara,Armaan Malik,Bollywood Romantic Songs With Armaan Malik,0TKg5tmAFIIC6iytdXXiM2,5XD2tP1DRH2NJgp45HiEQA,62,2017-07-20
Maahi Ve,A.R. Rahman,Highway,4MRvvPTLIVBHVEMfVC20jI,1sbW5E7w8tnqpYk0Frx8QG,69,2014-01-22
"Tose Naina (From ""Mickey Virus)",Arijit Singh,Love Dose Arijit Singh,5aRPSAhsXgpXhxRF8q1aLI,2fMlezwwP5Hr1UwuAknN4o,61,2016-02-11
Isq Risk,"Sohail Sen, Rahat Fateh Ali Khan, Irshad Kamil",Mere Brother Ki Dulhan,6NoosYEOmTm4PNXtDnIktN,0rxEPf4Y6uBmV3hkrV340a,65,2011-08-09
Nadaan Parinde,"A.R. Rahman, Mohit Chauhan",Rockstar,3RZxrS2dDZlbsYtMRM89v8,6Z394Nd4gW6Ts9hmu3NUjx,63,2011-10-01
Nadaan Parinde,"A.R. Rahman, Mohit Chauhan",Rockstar,3RZxrS2dDZlbsYtMRM89v8,6Z394Nd4gW6Ts9hmu3NUjx,63,2011-10-01
Pehla Pyaar,"Vishal Mishra, Armaan Malik",Kabir Singh,3uuu6u13U0KeVQsZ3CZKK4,0ojpEubhy4JNeVftmVuiN7,70,2019-06-14
Pehla Pyaar,"Vishal Mishra, Armaan Malik",Kabir Singh,3uuu6u13U0KeVQsZ3CZKK4,0ojpEubhy4JNeVftmVuiN7,70,2019-06-14
Abhi Na Jao Chhod Kar,"Asha Bhosle, Mohammed Rafi","Baarishein, Chai Aur Rafi",03jqioEplk3k6vr7umxs7u,5J5h8d9wvvdHQNnuF4rkPJ,56,2023-07-12
Subhanallah,"Pritam, Sreeram, Shilpa Rao",Yeh Jawaani Hai Deewani,2Lxoc72vRTGdQfMvj7Ovi1,0GQngE2rOYvlKwEQjTAsP8,73,2013-03-30
"Kabhi Jo Baadal Barse (From ""Jackpot)",Arijit Singh,Love Dose Arijit Singh,5aRPSAhsXgpXhxRF8q1aLI,2dOWkdPfiT9SU2Wm734Rh6,62,2016-02-11
